اسم الفيلم,تاريخ العرض,تصنيف الفيلم,مدة الفيلم (دقيقة),ملخص,تمثيل,تأليف,إنتاج,تصوير,مونتاج,ديكور,ملابس,موسيقى,إخراج,توزيع
مستشفى المواساة,1949,nan,-,ملخص,nan,nan,nan,nan,nan,nan,nan,nan,سعد نديم,nan
المرأة شيطان,1949,nan,90,حي فتاه ٱبن عم زوج ٱستطاع منع قلب حب زوج ٱبن عم اضمر حقد زوجه خطه قتل طريق قلب رجل فعل نجح قتل بدا قرب ٱكتشف علاقه ممرض احب خطه زواج تحطم امل دبر ٱنتقام وشي بوليس متهم قتل زوجه خاص تزوج ممرض تحقق قبض ٱستطاع خدع حديث حب ٱستدرج حتي ٱعترف حقيقه قتل ٱبن عم ظهر حقيقه ٱنكشف امر ازج سجن زوج بدا صفحه جديد حياه,"أحلام,محمد فوزي,سميحة توفيق,محمود شكوكو,علي الكسار,لولا صدقي,محمود السباع,رشاد حامد,زكي إبراهيم,شفيق نور الدين,عبدالحميد زكي,جيهان,محمد شوقي,فرج النحاس,زكي الفيومي,عبدالمنعم بسيوني,احمد بالى,نبوية مصطفى","صالح جودت,عبدالفتاح حسن",أفلام القاهرة,محمد عبدالعظيم,nan,nan,nan,محمد فوزي,عبدالفتاح حسن,nan
يوم في الريف,1949,nan,-,ملخص,nan,nan,nan,nan,nan,nan,nan,nan,سعد نديم,nan
بنت العمدة,1949,nan,110,عاش طبيب عادل حياه سري سعيد زوجه عزيز ٱبن عماد عرف راقص احسن توقع شبكه زوجه امر راقص لٰكن ٱستكان امر زوج زوج احضار راقص اقام منزل تخطي عزيز القي درس نسي ٱتفق راقص عمل عزيز راقص ملهي ليلي ٱسم سالومي هيءتها سعي عرف عادل توقع جرام طلب تطليق زوجه عشيق راقص,"كمال الشناوي,هاجر حمدي,عبدالغني السيد,درية أحمد,عبدالحميد زكي,محمد كامل,لولا عبده,يعقوب طانيوس,علية فوزي,جورج يوردانيدس,عزيزة بدر,محسن حسنين,عادل عباس,هدى شمس الدين",عباس كامل,nan,ف. فاراكاش,أميرة فايد,هاجوب اصلانيان,nan,"كوكب صادق,عبدالعظيم عبدالحق,محمود الشريف,عباس كامل",عباس كامل,nan
ارواح هائمة,1949,nan,85,ثني حرب فلسطين سافر صحيفه شاب مراسل جريده نبا ميدان قتال حدث تعرض هجوم تقلب سياره حريق مروع اصاب صحيفه شاب انتج اصاب تشويه وجه حياه مدني ٱلتقي خطيب حتي فزع خطيب شكل مشي فر فسخ خطوبه عرض حال سيءه تقدير بطوله حاول عرف فتاه اخري فتاه فر شوه عرض نبذ مجتمع وحيد شوه حدث ٱلتقي فتاه عمل ممرض مستشفي عسكري تبادل اعجاب جوار حتي تزوج تعرض سفر خارج علاج فعل سافر سويسرا جري عمليه جرح تجميل نجح عمليه ٱستعاد ملامح وسيم بدا حياه زوجه مريض جديد حامل قلب دين جوار رفض اخري,"سليمان عزيز,كاميليا,زوزو حمدي الحكيم,لولا صدقي,أحمد علام,كمال حسين,نادية السبع,عايدة كامل,محمد كامل,ثريا فخري,عبدالعزيز محمود,عبدالعليم خطاب,عبدالمجيد شكري","كمال بركات,سامى عزيز",nan,عبد العزيز فهمي,كمال أبو العلا,"هاجوب اصلانيان,فتحي قابيل",nan,nan,كمال بركات,nan
البيت الكبير,1949,nan,-,غانيه نصب شبكه جرح كبير طارد اغري حتي نجح ايقاع هجر طبيب زوجه اهمل عمل مرض زوجه رغبه طلاق تزوج غانيه عاش حياه عابث,"تحية كاريوكا,سليمان نجيب,عماد حمدي,فاخر فاخر,عادل أدهم,أحمد درويش,أمينة رزق,عبدالوارث عسر,ناديه سلطان,مختار عثمان,عبدالغني السيد,سعيد أبو بكر,سعيد خليل,آمال وحيد,أمين وهبة,عزيزة حلمي,جمالات زايد,محمود رضا,علي رضا,سناء سميح,عبدالعليم خطاب,كريمة سلطان,صبحى سعيد,زكي إبراهيم,عايدة فوزي,رشاد حامد,كمال ياسين,وهبة حسب الله,أحمد أباظة,رشوان مصطفى","أحمد كامل مرسي,سليمان نجيب,عبدالوارث عسر","ستوديو مصر,محمد رجائي",محمد عبدالعظيم,أحمد إسماعيل,أنطوان بوليزويس,nan,"إبراهيم حجايج,محمود الشريف,محمد عبدالوهاب,محمد فوزي","أحمد كامل مرسي,كامل الحفناوي,عدلي خليل",ستوديو مصر
ست البيت,1949,nan,-,تزوج الهام نبيل ٱنتقل عاش منزل والد بدا متاعب حامي هام مر ري الهام دخيل بيت ٱزداد حال سوء نبيل لاح والد تزوج اخري الهام انجب سعي تزويج مديح صديق الهام,"فاتن حمامة,عماد حمدي,زينب صدقي,منى,ثريا فخري,محمد كامل,عبدالعزيز حمدي,حسنة سليمان,نعيمة عاكف,سعاد مكاوي,عبدالعزيز محمود,محمود شكوكو,عبد المنعم سعودي,زكي إبراهيم","أبو السعود الإبياري,أحمد كامل مرسي,هنري بركات","لوتس فيلم (آسيا وشركاها),عبدالله بركات,آسيا داغر","جوليو دى لوكا,امبرتو لانزانو",أحمد إسماعيل,"هاجوب اصلانيان,ناداف",nan,"مرسي جميل عزيز,حيرم الغمراوي,عبدالعزيز محمود,حسن الإمام,عزت الجاهلي,محمود شكوكو,سعاد مكاوي",أحمد كامل مرسي,nan
هدى,1949,nan,-,عاش هدي طالب ثانوي بورسعيد والد ارمل فتح مهداوي صاحب شركه توريد تصدير نعيمه موظف شركه تتحايل فتح حتي وقع حب تزوج ٱعترض هدي فارق مستوي زنوبه ام تاجر مخدر سابق اخ عاشور باءع سريح مسجل سرقه افلح ٱعتراض عمل زوجه اب ٱبن زوج معامله سيءه دعا سفر اسكندري ٱلتحاق جامعه عرف قبطان بحري شكري شقيق سميره زميل كليه اجبر نعيمه زوج فتح تعيين شقيق عاشور شركه امين مخزن سرقه البضاءع مخزن حتي افلس شركه حاول نعيمه تزوج اخ عاشور هدي عمل مطرب ٱسم فكري فكري عمل سينما كون ثروه كبير تدهور حال نعيمه ٱستيلاء عاشور شء قابل هدي باع قرط اكل ثمن عطل ٱستضاف منزل حدث رسم خط عاشور معرفه اين يخبء بضاعه مسروق ابلغ بوليس اعاد مسروق والد اعاد نعيمه توبه تزوج شكري,"نور الهدى,كمال الشناوي,فريد شوقي,حسن فايق,زينات صدقي,محمد كمال المصري (شرفنطح),أحمد درويش,عبدالمنعم إسماعيل,عبد المنعم سعودي,محمود رضا,سعاد أحمد,ثريا فخري,محمود لطفي,عدوي غيث,محمد صبيح,محسن حسنين,رفيعة الشال,أنور زكي,شفيق نور الدين,عبدالغني النجدي,عبدالحميد زكي,علي كامل,عبدالحليم القلعاوي,إستر شطاح,علي رشدي,سامية رشدي,عفاف شاكر","نقولا بدران,حلمي رفلة",أفلام حلمى رفلة,"كمال كريم,محمد عبدالعظيم",ألبير نجيب,هاجوب اصلانيان,nan,"رياض السنباطي,محمد فوزي,عبدالعزيز سلام,أبو السعود الإبياري,مصطفى السيد,بديع خيري","حلمي رفلة,عاطف سالم",منتخبات بهنا فيلم
حلم ليلة,1949,nan,-,شاب هوه موسيقي رغب ٱفتتاح معهد درس موسيقي لٰكن ملك مال لازم احب ٱبن طبيب اراد زواج مركز حال يتصادف صوت جميل فرصه مناسبه ٱستفاد موهبه ٱكتشف شاب ٱبن عم ٱعتدي سرق مال سعي اعاده مال دافع حب نجح تزوج,"منسى فهمي,بشارة واكيم,نور الصباح,وجية بدرخان",صلاح بدرخان,nan,nan,nan,nan,nan,nan,صلاح بدرخان,nan
مبروك عليكى,1949,nan,100,دار فيلم مغني شابه جمع زميل مطرب رباط جرام فرض سيطره قلب معجب معجب حتي وصل امر ليل شجار عنيف ٱعتقد مغني زميل خاءن احب فر هارب ملهي عمل ٱلتقي شاب مخادع خدع حب اجري حياه ٱستهتار ٱرتبط مخدوعه حب حتي ٱكتشف خداع نهايه فر حياه مره اخري حياه ٱلتقي زميل تاكد حب تندم عاتب عاتب وصف قلب مره اخري جمع حب شواءب شجار,"نور الهدى,محمد الكحلاوي,محمود المليجي,علي الكسار,نبوية مصطفى,شفيق نور الدين,محمود نصير,هدى شمس الدين,سميحة توفيق,عبدالحميد زكي,عبدالغني النجدي,ثريا حسن","عبدالفتاح حسن,أبو السعود الإبياري","الفيلمك ستوديو,علي الجابري,ستوديو نصيبيان,أرمان بوهالوفيتش","امبرتو لانزانو,جوليو دى لوكا",إحسان فرغل,"عباس حلمي,حسن الشوربجى,حسن حامد",nan,"عبدالفتاح شلبى,مرسي جميل عزيز,مصطفى السيد,جليل البنداري","عبدالفتاح حسن,عبدالرحمن شريف,توفيق نبيه",nan
حدوة الحصان,1949,nan,-,دار حدث فيلم عصابه وصل قاهره بحث كنز بحث تحري ٱكتشف كنز مدفون دار فطاطري حاول شراء منزل صاحب منزل رفض حاول كبير عصابه دخل صاحب منزل ناحيه ٱبنه حاول خداع,"محمود شكوكو,سعاد مكاوي,عبدالفتاح القصري,محمود المليجي,إسماعيل يس,ميمي عزيز,زوزو محمد,فردوس محمد,نيللي مظلوم",عباس كامل,"مصطفى حسن,ستوديو نصيبيان,أفلام العالم الجديد (مصطفى حسن)",مصطفى حسن,جلال مصطفى,حسن حلمي,nan,nan,nan,أفلام القاهرة
