اسم الفيلم,تاريخ العرض,تصنيف الفيلم,مدة الفيلم (دقيقة),ملخص,تمثيل,تأليف,إنتاج,تصوير,مونتاج,ديكور,ملابس,موسيقى,إخراج,توزيع
الأيدي الناعمة,1963,nan,137,نزع ملك ثري افلس بقي سوي قصر عرف شاب حاصل درجه الدكتواره لٰكن عاطل ٱقترح امير ٱستغل قصر تاجير مفروش امير ٱبنه انكر وجود ٱبنه كبري تزوج مهندس بسيط ٱبنه اصغر باع لوحه رسم ٱتفق دكتور يءجر زوج ٱبنه راوند امير اخت ارمله اب قصر زال قطيعه ٱبنه عمل مرشد سياحي تزوج ارمله ايض تزوج دكتور ٱبنه اصغر,"صباح,مريم فخر الدين,أحمد مظهر,صلاح ذو الفقار,ليلى طاهر,أحمد خميس,وداد حمدي,كامل أنور,حسين عسر,أحمد لوكسر,عبدالغني النجدي,حسين إسماعيل,عباس الدالي,إدمون تويما,محمد إدريس,أنور مدكور,محمد مرجان,رشاد إبراهيم,عبدالحميد بدوي,مطاوع عويس,طوسون معتمد,صالح الإسكندراني,عبدالمحسن سليم","توفيق الحكيم,يوسف جوهر","فيلمنتاج,سيد إسماعيل,عبدالحميد زكي","وديد سري,علي خير الله,مصطفى إمام","فكري رستم,زينب عويس,فتحي داود","أنطوان بوليزويس,نجيب خوري",nan,"علي إسماعيل,حسين السيد,فتحي قورة,محمد الموجي,صباح","محمود ذو الفقار,عبدالعزيز جاد,إبراهيم المنياوى",دولار فيلم (إسماعيل الكردي وأولاده)
مسرحية المغرور,1963,nan,-,ملخص,أحمد مشتهى,nan,nan,nan,nan,nan,nan,nan,nan,nan
قصة ممنوعة,1963,nan,100,هناء فتاه ريف عاش قاسم ٱبن عم والد وحيد اسر قيد حياه سله مملوء طعام حمل وزه كبير تسبب كسر فاز صيني غالي ثمن قاسم سعيد قدوم زير نساء سمي جلال اعجب جمال قريب سعي تعليم مبادء التحضر لاحظ جار راقب ارسل خادم بهي عاش فيلا عيد مصر جديد احمد محامي عمل مكتب جلال ثني ذهاب عميل مصر جديد ري هناء جري وزه هارب فيلا شارع تبادل كلمه قليل ٱنجذب الٱثنان اقصي احمد جلال مغامره بدا جلال دور اعطاء ارشاد قرب قلب محبوب رغم هناء حدث رءيسه عرف حكي قاسم جلال غازل هناء صغر سن امل وقع حب احمد فاز قلب فضل نصاءح جلال اخبر احمد جلال عاق وجود قريب عجوز نصح قريب عيش عجوز مقصود ناحيه اخري احب مجاهد جنايني فيلا بهي خادم ٱستعد زواج صدفه احمد جلال قريب هناء هرب قرر زواج ٱعترف جلال حب شب جمال ملك قريب باراك زواج,"ماجدة,شكري سرحان,محمود المليجي,وداد حمدي,عزيزة حلمي,عدلي كاسب,كامل أنور,ماري عز الدين,ميمي جمال,سعيد خليل,كمال الزيني,عبدالحميد بدوي,أحمد شوقي,عبدالمنعم إسماعيل,إسكندر منسي","علي الزرقاني,طلبة رضوان,أبو السعود الإبياري","ستار فيلم (توفيق الصباحى),توفيق الصباحي,محسن فرجانى,كمال حنفي","ضياء الدين المهدي,فوزي إبراهيم","حسين أحمد,عاطف صبرى,مارسيل صالح","جمال مرسي,عبدالمنعم على",nan,فؤاد الظاهري,"طلبة رضوان,سيمون صالح,جمال عمار","أفلام صوت الفن (محمد عبدالوهاب - عبدالحليم حافظ - وحيد فريد),ستار فيلم (توفيق الصباحى)"
يد القدر,1963,nan,90,ملخص,"عدنان الإمام,سلمى عبدالأحد,سامي قفطان ,وداد رمزى",كامل العبلي,أفلام العزى,جورج يوسف,جورج يوسف,nan,nan,محمد عبدالمحسن,كامل العبلي,nan
مسرحية المحقق,1963,nan,-,ملخص,أحمد مشتهى,nan,nan,nan,nan,nan,nan,nan,nan,nan
من غير أمل,1963,nan,-,قصه حب انشا عاش عماره حي فقير نجح شاب خرج جامعه عمل شركه كبير تزوج اعجب ٱبن صاحب شركه شاب حاول مستحيل زواج حصل زواج فتلعم زوجه اصاب مرض خطير حاول زوج عود لٰكن رفض,"مديحة يسري,جمعة إدريس,كمال الشناوي,شويكار,محمود المليجي,عبدالمنعم إبراهيم",nan,nan,nan,nan,nan,nan,nan,حسن رضا,nan
الكناري اﻷصفر,1963,nan,-,ملخص,بات بون,nan,nan,nan,nan,nan,nan,nan,nan,nan
المعلم لطوف,1963,nan,-,ملخص,"نزهة يونس,نجيب حنكش",nan,nan,nan,nan,nan,nan,nan,نزار ميقاتي,nan
زوجة ليوم واحد,1963,nan,100,رغم ثراء سهير عريس سقط مريض نقل مصحه اشهربعد خروج اقام والد حفل دعا صديق قدم شمبانيا والويسكي رضي ياسين افندي ناظر عزبه رجل متحفظ ٱضطر تنفيذ امر رءيسته صغير سهير ياسين افندي اربع بنت خديجه كبير اجبر طلاق زوج طلب عمل ساعد مصروف منزل فاطمه زيز هدي اصغر منع خروج منزل الحاح سهير وافق ٱصطحب ٱبنه فاطمه حفل اقام سهير اهدي سهير ساعه حضر حفل دكتور احمد رعي سهير ثني مرض بدا سهير احب قاسم احاسيسها راي فاطمه راقب حفل مختبءه اسفل سلم ٱقترب اظهر اعجاب دعا رقص ادرك دكتور احمد ياسين افندي رجل متدين ٱصطحب حفل ديني ٱستطاع اقناع خروج عاءلته ٱلتقي فاطمه طلب يد ادرك سهير دكتور احمد ارسل ياسين افندي كشف حقيقه تصرف دكتور احمد نصح زوج ٱبنه مروان افندي طلب زواج اخبر مستعد ساعد مروان افندي مصروف زواج اغضب دكتور احمد فضل مهاره فضل صديق صلاح نجح اخر لحظه حضر حفل زفاف عريس تزوج فاطمه,"كمال الشناوي,ناهد شريف,حسين رياض,نادية النقراشي,أبو بكر عزت,ليلى صادق,هدى عيسى,هالة الشواربي,أمين الهنيدي,ماري عز الدين,منير التوني,أحمد أبو عبية,عبدالحميد بدوي,عباس الدالي,صالح الإسكندراني,محمد طه,إكرام عزو","كمال الشناوي,إسماعيل القاضي","أفلام كمال الشناوي,كمال الشناوي,عبدالقادر الشناوي","كليليو (ك. ستشفللي),البير رياض,غنيم بهنسي","فكري رستم,مارسيل صالح,فتحي داود","عبدالمنعم شكري,ستوديوهات جلال",nan,محمد طه,"السيد زيادة,أحمد شاهين ,محمد شحاتة",أفلام كمال الشناوي
صابرينا,1963,nan,-,ملخص,nan,nan,nan,nan,nan,nan,nan,nan,دفيد,nan
جواز فى خطر,1963,nan,-,دار حدث فيلم قصه حب احمد شاب المكافح احمد رمزي وسميرهناديه لطف فتاه ثري رغب الٱثنان زواج عم سميره رفض زيجه فقر احمد تواضع حال تدخل راقص صديق احمد مطارد مكان حتي فرقه تقرر سميره زواج شاب اخر ثري تشجيع عم احمد قرر انقذ حب كلف امر,"ميمي جمال,نادية لطفي,أحمد رمزي,نجوى سالم,زينات صدقي,كمال حسين,عبدالغني النجدي,عبدالمنعم إسماعيل,حسن أتلة,عدلي الشرقاوي,ليلى حمدي,عبدالمنعم إبراهيم,أحمد ثروت,نجوى فؤاد,عواطف يوسف,جوهرة,حسين ياقوت,عبدالنبي محمد,محمد شوقي","حسين عبدالنبي,عيسى كرامة,علي بحيري",nan,nan,nan,nan,nan,nan,عيسى كرامة,nan
سجين الليل,1963,nan,-,مجرم خطير غريب طارد رجل شرطه اظهر ليل ٱرتكب جراءمه اذ سرق قتل ٱختفي فشل محاوله ضابط شرطه عثور غريب ٱلتقي غريب طالب جامعي ثري صداقه وطيد لمس شاب جانب خفي شخص سفاح نشر رعب قريه اذ ري مجرم قبر زوجه تخطي صعب راوند ٱبنه جرح ثني مطارد شرطه طلب طالب جامعي مجرم قتل طالب عقد سبب والد سيطر سيطره تام شاب ضعيف جب اخير ري غريب طلب قتل قبض ٱنتهي قتل مجرم حل عقد طالب جامعي,"حسن يوسف,زيزي البدراوي,شكري سرحان,محمود المليجي,علوية جميل,نجوى فؤاد,مديحة سالم,سهير زكي,سعيد خليل,محمد صبيح,مختار أمين,فايز حجاب,عبدالسلام محمد,سامية محسن,حسين الشربيني,لوسى صادق,عبدالغني النجدي,نصر سيف,سميحة أيوب",يوسف إدريس,nan,nan,nan,nan,nan,nan,محمود فريد,nan
فتاة شيطانة,1964,nan,-,حي فتاه حياه فساد مجون مصاحبه رجل موسر وزير دبلوماسي عاون طبيب عمل قاءد حاكم طبيب حاول فتاه دفاع ٱتهام مجتمع ظرف اد سقوط,"عبدالخالق صالح,محمود المليجي,عادل أدهم,توفيق الدقن,ميمي شكيب,يوسف فخر الدين,رشدي أباظة,أحمد رمزي,شويكار","عدلي المولد,نبيل غلام",nan,فيكتور أنطون,nan,nan,nan,nan,أحمد ضياء الدين,nan
عقد اللولو,1964,nan,100,سالم مزرع بسيط احب بنت قريه دور اراد زواج طماع ارض وقع يد رساله ظن مكتوب حقيقه مكتوب حقيقه كاتب غوار مهجر حمل عقد اللءلء دار مشاجره سالم خصم قطيع شرس ارض ٱمتلك دور جوار سالم غوار اهداء عقد اللءلء دور ليل زفاف سالم سينما سوري,"صباح,فهد بلان,دريد لحام,نهاد قلعي,يسرا البدوية,صبري عياد,ملك سكر,أنطوان زخور,محمد العقاد,شارلوت رشدي,أحمد عداس,إبراهيم كروية,محمود المصرى,إغراء,فتنة,أحمد تاج الدين الشيخ","دريد لحام,يوسف معلوف,  محمود نصير,نهاد قلعي","ستوديو سيريا فيلم,نادر الأتاسي",محمد الرواس,اميل بحرى,سعيد النايل,nan,منوعات,"يوسف معلوف,خلدون المالح",nan
عفرة وبدر,1964,nan,100,ملخص,"برلنتى حميد,صفاء محمد على,رجاء عبدالعزيز,سلمى عبدالأحد,ياس علي الناصر ",فالح عبدالعزيز الزيدى,أفلام دنيا الفن,"نهاد علي,عبدالله سلمان",حيدر العمر,nan,nan,nan,فالح عبدالعزيز الزيدى,nan
شادية الجبل,1964,nan,110,صحيفه منير صديق مصور حسن اوكل مهمه صحيفه القباءل بدوي توصل قطع طريق غامض سمي ابو الدهب شاهد وحيد عمليه اجرامي نجح صحيفه عصابه تولي فرار عثر فتاه بدوي ٱبن شيخ ابراهيم لٰكن عرف اخت ليلي ٱختطاف عصابه نجح انقاذ ليلي شكر شيخ ولد قصه حب منير حسن ليل وعد تزويج ٱبن عم ناصر ساعد عصابه هجوم قبيل منير ٱستعان قوه شرطه دار معركه تمكن منير انقاذ خطر سينما لبناني,"فريد شوقي,ربيعة عز الدين,برلنتي عبدالحميد,محمود المليجي,حسن يوسف,نجوى فؤاد,توفيق الدقن,نصير قرطباوي,حسين رياض,محمد أباظة,حسين إسماعيل",أحمد ضياء الدين,"أفلام يحيى إبراهيم,مؤسسة السينما,فواز إخوان","ابراهيم عادل,عبدالمنعم بهنسي,مكرم سالم,محمد طاهر","كمال فهمي,فاروق شحاته,ليلى فهمي,حسين عفيفي,وديع شفيق","محمود خليفة,حبيب خوري","بهجت الحلبي,حبيب خوري","ربيعة عز الدين,علي إسماعيل,عبدالحليم نويرة,عبدالجليل وهبي,عبدالغني النجدي,رياض السنباطي","أحمد ضياء الدين,إسماعيل حسن",nan
العسل و المر,1964,دراما,90,ملخص,"رندة,إبراهيم خان,موفق بهجت,جاكلين,صباح العمري,سعاد فخرى,نعيمة الإسكندراني,سمير شمص,أحمد بديعة,وئام الصعيدي,كلير سعد,كواكب,زين الصيداني,برنار مسكاوي,افهام السيد,سامي مقصود,سهيل نعماني","هول كين,رضا ميسر,احمد عزت",محمد علي الصباح,برونو سالفي,ميشال تامر,nan,nan,منتخبات عالمية,"رضا ميسر,وئام الصعيدي",nan
مسرحية الملك أوديب,1964,nan,-,ملخص,أحمد مشتهى,nan,nan,nan,nan,nan,nan,nan,nan,nan
يا ليل,1964,nan,-,ملخص,nan,nan,nan,nan,nan,nan,nan,nan,جاري جرابديان,nan
الرسالة الأخيرة,1964,nan,95,صدم سميره وفاه اب لذيذ تقرر ٱنتقام قتل عرف وراء جريمه رءيس عصابه فتش ورق اب عرف كثير سر عصابه عمل تهريب مخدر سعي زعيم عصابه عون مسمي حسين حصول ورق دان حاول طرف اوقع اخر هرب سميره ٱلتقي حسين عرف هوي سعي حصول رساله اخير شعر حب قرر وقوف مناهض زعيم عصابه بلغ حسين شرطه ابي اعلن حقيقه رءيس عصابه ايقاع تزوج حسين سميره,"مديحة سالم,يوسف فخر الدين,توفيق الدقن,سميرة محسن,محمد صبيح,أحمد شوقي,فتحية علي,حسين إسماعيل,محسن حسنين,إكرام عزو,سامي سرحان,أحمد الحداد,زينب نصار,عبدالمنعم بسيوني,محمد إدريس,نادية حمدي,زكي محمد حسن (زكي الحرامي),عبدالعظيم كامل,رشاد إبراهيم,مختار السيد,عبدالعظيم شعلان,زينب محمد,أحمد أبو عبية",محمد كامل حسن المحامي,فيلمنتاج,"فىستوديومصر,جمال عبادة,فيكتور أنطون",فتحى قاسم,"أنطوان بوليزويس,عجمي عبدالرحمن",nan,"محمد كامل حسن المحامي,فؤاد الظاهري",محمد مفتاح,nan
مسرحية الفانوس,1964,nan,-,ملخص,أحمد مشتهى,nan,nan,nan,nan,nan,nan,nan,nan,nan
الابن المفقود,1964,nan,95,افقد شيخ عبدالفتاح ٱبن صغير صغير توقف بحث سنه شيخ رجل ثري حاول بحث ٱبن ثمن اخ اسماعيل طمع ثروه رحيل بحث مضني عثر اب ٱبن اعلن حقيقه خوف اسماعيل خلص قرر اسماعيل اتي شاب مواصفه ٱبن الضاءع قدم وخي حصل مكافاه تمكن اسماعيل طريق رجل عثر ضال حسين شاب اتي تمثيل دور ٱستقبل شيخ عبدالفتاح ترحاب ليل اخبر حسين حقيقه منح عبدالفتاح مكافاه سخي اعلن حقيقه اسماعيل قتل وخي نسب جريمه حسين سميره خطيب حسين دفع اخ خالد محامي دفاع حسين فعل اثبات براءه قبض اسماعيل رجل حسين سميره قاهره تزوج,"أحمد رمزي,نجوى فؤاد,حسين رياض,آمال فريد,أحمد الحداد,عزيزة حلمي,عبدالخالق صالح,محمود الحديني,سامي سرحان,محمود العراقي,عبدالغني النجدي,حسين إسماعيل,إبراهيم الشامي",محمد كامل حسن المحامي,"كامل الحفناوي,فيلمنتاج",عبدالمنعم بهنسي,"مصطفى مختار,ليلى فهمي","عبدالحميد السخاوي,حسين الشريف (حسين شريف),إبراهيم سيد أحمد",nan,nan,"محمد كامل حسن المحامي,إسماعيل حسن",nan
مسرحية التمرجي المرح,1964,nan,-,ملخص,أحمد مشتهى,nan,nan,nan,nan,nan,nan,nan,nan,nan
العائلة الكريمة,1964,nan,85,اب فتاه سكن ام حي شعبي تزوج رجل فقير صلاح ارض عيش تقرر مر رحيل استنبول عرف رجل ثري ساعد امر مرموق مجتمع مطرب مشهور ثري تركي مصر ذٰلك محاوله طلب طلاق صلاح حتي تزوج ثري زوج قرر تاديب زوجه طلب ام بيت طاعه نجح تهذيب مر اعاده طبيعه نجح ام ٱكتشف ثري تركي خديع قرر عود بلد زوجه تنازل مكان ٱجتماع شهر زوجه صالح عاش سعيد صلاح قرر ام حياه,"هدى سلطان,فريد شوقي,ماري منيب,عادل أدهم,أحمد خميس,محمد الديب,محمود لطفي,جيهان عبدالرحمن,محمد شوقي,كامل أنور,أنور مدكور,محسن حسنين,حسين إسماعيل,زينات علوي,فايزة عبدالجواد,أديب الطرابلسي,حسن أنيس,مطاوع عويس,أمال رمزي,مختار السيد,صالح الإسكندراني,ليلى يسري,سامي سرحان,الطوخي توفيق,فتحية علي,علي المعاون,علي عرابي","بديع خيري,نجيب الريحاني,عبدالحي أديب,بهجت قمر","الشركة العامة للإنتاج السينمائي العربي,سعد شنب,مصطفى جبر","كمال كريم,صلاح كريم","حسين أحمد,محمد الزرقا,كمال فهمي","ماهر عبدالنور,ستوديو نحاس (النيل),حسين الشريف (حسين شريف)",nan,"ميشيل يوسف,محمد فوزي,فتحي قورة,هدى سلطان","فطين عبدالوهاب,صالح فوزي",دولار فيلم (إسماعيل الكردي وأولاده)
مع الناس,1964,nan,100,ٱستدعي الفرماوي مهندس رفعت شاكر ناقش تصميم عماره جديد اراد تقليل مساحه حجر الغاء شرف حتي ٱستفاد اكبر قدر ممكن عماره جديد رغم ٱمتلك شركه عقار كبير عديد موظف ٱبن كمال حصل ليسانس حق نسب نجاح ٱبن توفير مصروف محامي الفرماوي عماره قديم حي شعبي سلم بدا سقوط وشك ٱنهيار اراد اخلاء منزل هدم بناء عماره مكان دري دخل كبير رفض مستاجر منزل كلف ٱبن كمال ٱتخاذ اجراء قانوني منزل كمال صله عز ورءيسه جمعيه خيري كمال احب حاول والد راي عماره فاءده وقع زلزال سقط عماره جيد بقي منزل نجح كمال اخير اقناع والد ايقاع عماره تزوج عز,"سميرة أحمد,حسن يوسف,عماد حمدي,محمد العزبي,هالة الشواربي,أميرة,عبدالنبي محمد,عبدالحميد بدوي,زكي إبراهيم,عبدالغني النجدي,فتحية علي,فتحية عبدالغني,محمد إدريس,صفا الجميل (صفا محمد),كمال الزيني,عبدالسلام محمد,إنجى إسماعيل,فتحية طاهر,فوزية إبراهيم,عصام عبده,محسن العدجى,ليلى نصر,زهور,رجائى,ناجي كامل,عبدالمنعم عبدالرحمن,عباس الدالي",حسين عبدالنبي,"توفيق الصباحي,ستار فيلم (توفيق الصباحى)",ضياء الدين المهدي,"حسين أحمد,مارسيل صالح","ستوديوهات جلال,حلمي عزب,نجيب خوري",nan,nan,"كمال عطية,جمال الدماطي",nan
ابن كليوباترا,1964,nan,-,تعيين حاكم روماني اسكندري بترونيو مقنع مسيحي كبير دفاع المطحونين محارب رجل طاغي ٱبن رءيس قبيل صقر اخير ٱبن اخر اورو فارس اراد مساعد وخي مغامره عرف كبير اب ٱبن تبني ام كليوباترا سلم وعه ايقونه قيصرون ٱبن يوليوس قيصر طالب عرش روما رد قبيل تبليغ طاغي امر ارسل امبراطور روما رجل قضاء تمرد كبير وقع جرام روي قبض كبير ارسال معسكر مصرع ال طيار حلب ٱنتصر ٱشتعل مواجهه طاغي رومان مات بترونيوس طالب كبير حق حكم مصر ٱعتبار ٱبن كليوباترا عرف مصر سلام,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
الأجنحة المتكسرة,1964,nan,100,روي فيلم قصه سير ذاتي اديب جبران خليل جبران حب سلمي رامي ٱبن ثري معروف فارس رامي اجبار فتاه تزوج ٱبن شقيق اسقف شاب فاسد نظر ثروه رامي غنيمه عاني فتاه عمق مات جبران سر لبث صعب رقابه اسقف فرض زواج وضع سلمي طفل مات حق جبران بلد رحل ولايه متحد سينما لبناني,"نضال الأشقر,بيار سلامة,فيليب عقيقي,صلاح نادر,كواكب,جوزيف نانو","فاضل سعيد عقل,جبران خليل جبران","توفيق كيروز,انطوان خورى",انطوان صباغة,nan,nan,nan,nan,يوسف معلوف,nan
زوجة من باريس,1964,nan,103,عمل دكتور ناجي واحه باريس نشر وعي صديق مهندس وجيه ثاءر مر صدم خيانه زوجه بحث داود ناظر مدرسه زوجه مناسبه وقع ٱختيار فتاه لوح وجيه تزوج مشرف ٱجتماع جديد ٱستطاع شخص زال سيء خيانه زوجه,"رشدي أباظة,نبيلة عبيد,صلاح ذو الفقار,فؤاد المهندس,كريمة الشريف,أحمد الحداد,أمين الهنيدي,عبدالغني النجدي,حسين إسماعيل,حسن أتلة,سيد عبدالله,بوسي,إبراهيم حشمت,ماري باي باي (بهيجة محمد علي),إسكندر منسي,علوية جميل","أمينة الصاوي,عبدالحي أديب","شركة القاهرة للإنتاج السينمائي,منير رفله,عبدالمسيح,محمد العيسوى","كليليو (ك. ستشفللي),فارس وهبة,صلاح وهبه,مصطفى السيد","عبدالعزيز فخري,محمد الزرقا,محيي الدين أحمد,كمال فهمي","ماهر عبدالنور,ستوديو نحاس (النيل),نجيب خوري",nan,علي إسماعيل,"عاطف سالم,أحمد السبعاوي,حسين عمر",الشركة العامة لتوزيع وعرض الأفلام السينمائية
الباحثة عن الحب,1964,nan,-,نادي لطف فتاه بحث حب تزويج رغم اراد شاب عرف رفض والد تزويج احب احمد رمزي معاناه زوج محمد سلطان موسيقي وافق ٱختلاف ٱهتمام تزوج اخري طلب طلاق عرف رشدي اباظه رجل لعوب حاول ٱستمال طارد حتي تزوج,"رشدي أباظة,نادية لطفي,نجوى فؤاد,أحمد رمزي,محمد سلطان,عبدالمنعم بسيوني,فيفي سعيد,سيد محمود,عدلي الشرقاوي,مختار أمين,عز الدين إسلام,سهام فتحي,زينب صدقي,فوزية الأنصاري","عزت الخطيب,حسين حلمي المهندس",nan,nan,nan,nan,nan,nan,أحمد ضياء الدين,nan
نمر التلامذة,1964,nan,85,قرر صديق مصطفي مجد احمد عمل ثني اجازه صيف ٱنتظر ظهور نتيجه ٱستاجر بيع حلوي مشروب مثلجه والشطاءر حلم طموح مجدي احب زميل نشوي ود تزوج عرف مجدي صديق احمد ادل حب احمد هوه موسيقي طمح مطرب مشهور حاول راقص رمي شبكه احمد اخذ عامه سعي زميل انقاذ حتي عرف فتاه احب امر تسلل الٱثنان عامه تمكن اخراج احمد هرب ٱكتشف راقص رد عصابه قبض رد عصابه اعلن نتيجه سنه النهاءيه مصير نجاح عرف مجدي مشعر احمد نشوي قرر اضحي تزوج فتاه سميره احب صمت,"مختار أمين,أحمد الحداد,لبلبة,سميرة أحمد,حسن يوسف,أحمد رمزي,أحمد أبو عبية,جمال الدماطي,حسين إسماعيل,عبداللطيف التلباني,نجوى فؤاد,توفيق الدقن,يوسف فخر الدين,محمد عوض","يس نديم,عدلي المولد",عدلي المولد,"الاستوديوهات العربية,فيكتور أنطون",عبدالعزيز فخري,"أنطوان بوليزويس,نجيب خوري",nan,nan,"جمال الدماطي,عيسى كرامة,جمال الدماطي",جمهوريّة فيلم
نهاية مجرم,1964,nan,-,ملخص,nan,nan,nan,nan,nan,nan,nan,nan,برهان الدين جاسم,nan
سقوط الإمبراطورية الرومانية,1964,nan,188,نظر عمل معبا بدايه سقوط امبراطوريه روماني مجد جشع عظم روما قصه شخص شهوه سلطه تحطيم اثار فقدان سلطه حكايه محنه شعب عاش حافه هاويه سياسي,"صوفيا لورين,عمر الشريف,ستيفن بويد,جيمس ماسون,كريستوفر بلامر,أنتوني كويل,فينلي كوري,جون إيرلاند","فيليب يوردان,بن بارزمان, باسيليو فرانتشينا",nan,nan,nan,nan,nan,nan,أنطوني مان,nan
عتاب,1964,nan,95,عتاب فتاه بدوي جميل تعثر شاب طافي ماء قريب الشاطء قبيل تسرع انقاذ تسرع خيمه تطبيب حتي حال ٱكتشف ذاكره عرف هوي مليوناري شاب فءاد سبب غياب قلق خطيب كوثر نشر اعلان صوره ري غضبان صوره فءاد قرر بلغ كوثر منافس قلب عتاب ٱستلام مكافاه فءاد مدينه عتاب ٱسترداد فءاد عرف ٱسترد ذاكره شعر عتاب حزن شديد قبيل لٰكن فءاد ٱنتظار سينما لبناني,"سميرة توفيق,محرم فؤاد,إبراهيم خان,ملك سكر,يوسف حسني,سيد المغربي ,أمل مراد,صباح العمري,فريال كريم,زين الصيداني,نصير قرطباوي,سوسن مفرج,دوريس سعد,حسن المليجي,نادية جمال,وداد جبور","سيد المغربي ,سيف الدين شوكت","فواز إخوان,أديب جابر,حسن مقلد,أفلام فؤاد أخوان",رويير طمبا,ميشال تامر,nan,عيسى النحاس,محرم فؤاد,"سيف الدين شوكت,منير بطش,عدنان حسون",nan
الطريق,1964,nan,105,صدم صابر الرحيمي بلغ ام سجن ماضي مشي ٱسم اب لجا ثراء هدف عثور اب انقذ ضيعه هب حمايه امن اسكندري عاش قاهره رحله طويل بحث اب مجهول صابر تجربه حياه ٱلتقي كريم زوجه صاحب فندق نزل امر مليءه شهوه وقع صابر شبكه عرف الهام دار خبر عمل اعلان بحث اب نما قصه حب رقيق ٱثنين وجه حس نما كريم اتي غرفه ليل طلب قتل زوج جو كره رجل حمل ٱسم اب حسس صابر ضيعه جديد وافق قتل زوج شرطه شكا طارد ساعد كريم هرب حاول الهام انقاذ شرطه لبث قبض مصير اعدام,"شادية,سعاد حسني,رشدي أباظة,تحية كاريوكا,محمد توفيق,حسن البارودي,أحمد لوكسر,فايق بهجت,رشاد حامد,حسين إسماعيل,قدرية كامل,عبدالغني النجدي,محمد عطيه,سيد عبدالله,عبدالخالق صالح,أحمد مرسي,أحمد جمهورية,محمد نبيه,عبدالمنعم عبدالرحمن,صالح الإسكندراني","نجيب محفوظ,حسين حلمي المهندس","محمد حجاج,سعيد الدفراوى,وجيه رياض,سيد الجبالي","وديد سري,علي خير الله,جمال التابعي","فكري رستم,انجا وميلا,فتحي داود","ماهر عبدالنور,عثمان حسين,نجيب خوري",nan,ميشيل يوسف,"حسام الدين مصطفى,صالح فوزي",دولار فيلم (إسماعيل الكردي وأولاده)
هل أنا مجنونة,1964,nan,105,هدي فتاه بالغ هشاشه قليل خبر تجربه لذيذ شديد اب تزوج اب امر اخري بدا شديد قسوه زاد حد توتر هدي خاص وفاه ام كثير حنان زواج اب عاش مزيد تجاهل ٱتفاق عقد تردد عياده ادار دكتور احمد ٱكتشف هدي بالغ عنف تحطم شء تعبير لحظه سخط مات اب هدي احمد ملذه اخير احب ٱستكمل احمد علاج قرر زواج لٰكن لبث وقع برثن شاب اخر طمع ميراث كبير اقرب زوجه اب طارد شاب هدي مكان حاول ايهام مجنون ٱستسلم كثره ملاحقه دار مشاده مات قبض هدي محكمه سعي دكتور احمد اثبات براءه لبث اظهر قاتل حقيقي تزوج احمد هدي,"سميرة أحمد,كمال الشناوي,عادل أدهم,حسين رياض,سميحة أيوب,ناهد صبري,منير التوني",محمد عثمان,"السينمائيين المتحدين,ابراهيم والى","الاستوديوهات العربية,محمود فهمي","حسين عفيفي,مارسيل صالح,وديع شفيق,فاروق شحاته",نجيب خوري,nan,nan,"أحمد ضياء الدين,أحمد شاهين,فوزي علي",السينمائيين المتحدين
بنت عنتر,1964,حركة,102,ملخص,"سميرة توفيق,أحمد مظهر,كوكا,فريد شوقي,بوسي,صلاح نادر,نصير قرطباوي,عصام الشناوي,زين العشماوي,صبري عياد,سمير ابوالسعد,شوشو عز الدين,منير معاصري,باهر السيد,محمد سلطان,عبدالحميد بدوي,أحمد مرسي,إلهام شوقي,ابراهيم الحلو,عباس الدالي,محمدين,الطوخي توفيق,عبدالخالق صالح,صلاح نظمي,محسن السمراني,كنعان وصفي,علي دياب,إحسان شريف,سيد المغربي ","عبدالغني الشيخ,فؤاد القصاص,نيازي مصطفى,سيد المغربي ","أفلام مصر الجديدة,نوري وصالح,محمود النمير,سيد غراب,عماد بيضون","وحيد فريد,مسعود عيسى,وليم نعمة,عبدالله ياقوت","جلال مصطفى,عبدالعزيز فخري,محيي الدين أحمد","الاستديو العصري,حبيب خوري,محمود المغربي","شادي عبدالسلام,إيفون ماضي","جميل العاص,عبدالغني الشيخ,عفيف رضوان","نيازي مصطفى,وئام الصعيدي,شريف حمودة,السعيد مصطفى,محمد الهواري",nan
انت عمري,1964,nan,-,وجيه عبد سلام نابلس رجل ثري غايه ٱمتلك شيء ٱفتقد سعاده حاول مساعد اسعاده طريق ٱستقدام كبير مغني فهد بلان نجاح سلام حفل رقص اخرج شارع مرتديا لباس رومان شكا قوه عقل حبس مستشفي مجنون فقر سعاده اغدق خطيب مساعد امال فقير مال شركه قابل سهير حياه,"عبدالسلام النابلسي,إحسان صادق,جاكلين,زمردة,سيد المغربي ,أنور البابا,احمد نمير,هدى غالي,إبراهيم مرعشلي,نجا نصار,تمام إبراهيم,ماريلا,فهد بلان,سميرة توفيق,نجاح سلام,وديع الصافي,سمر يلدز,صباح",nan,"أنور الشيخ ياسين,محمود النمير","روبير طمبا,روبير سعد,احمد محسن",فؤاد زنتوت,"موريس لابي,علي العريس",nan,"ميشال طعمه,عفيف رضوان,وديع الصافي,عبدالغني الشيخ","جورج قاعي,محمد سلمان,وئام الصعيدي,عدنان حسون",أنور الشيخ ياسين
